Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Allergy,apply calamine,cover area with bandage,,use ice to compress itching
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ,have balanced diet,exercise,consult doctor,follow up
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension ,meditation,salt baths,reduce stress,get proper sleep
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D,consult doctor,medication,eat healthy,follow up
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Pneumonia,consult doctor,medication,rest,follow up
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
Tuberculosis,cover mouth,consult doctor,medication,rest
Lyme disease,consult doctor,antibiotic therapy,check for ticks,use insect repellent
Eczema,use moisturizer,avoid hot baths,wear soft fabrics,consult dermatologist
Rheumatoid arthritis,medication,physical therapy,rest,consult rheumatologist
Insomnia,establish bedtime routine,limit daytime naps,avoid stimulants,consult sleep specialist
Alzheimer's disease,engage in cognitive activities,exercise regularly,healthy diet,consult neurologist
Gout,avoid high-purine foods,stay hydrated,apply ice to affected joints,consult rheumatologist
Anemia,eat iron-rich foods,consume vitamin C,consult hematologist,iron supplements
Panic disorder,deep breathing exercises,seek support,avoid caffeine,consult psychiatrist
Osteoporosis,calcium-rich diet,weight-bearing exercises,consult endocrinologist,medication
Hemorrhoids,high-fiber diet,avoid straining,use topical treatments,consult gastroenterologist
Sciatica,heat and ice therapy,stretching exercises,consult orthopedist,physical therapy
Celiac disease,gluten-free diet,read food labels,consult gastroenterologist,avoid cross-contamination
Menstrual cramps,apply heat,over-the-counter pain relievers,exercise,consult gynecologist
Irritable bowel syndrome (IBS),fiber-rich diet,probiotics,avoid trigger foods,consult gastroenterologist
Fibromyalgia,regular exercise,manage stress,physical therapy,consult rheumatologist
Chronic obstructive pulmonary disease (COPD),quit smoking,bronchodilators,consult pulmonologist,exercise
Eating disorders,seek therapy,nutritional counseling,support groups,consult psychiatrist
Crohn's disease,anti-inflammatory medications,immune modifiers,consult gastroenterologist,healthy diet
Endometriosis,pain relievers,hormone therapy,consult gynecologist,surgery
Lupus,anti-inflammatory medications,immunosuppressive drugs,consult rheumatologist,manage stress
Bipolar disorder,medication,psychotherapy,establish routine,consult psychiatrist
Herniated disc,rest,physical therapy,medication,consult orthopedist
Kidney stones,stay hydrated,pain relievers,consult urologist,dietary changes
Parkinson's disease,medication,physical therapy,consult neurologist,support groups
Hypertensive heart disease,antihypertensive medications,healthy diet,exercise,consult cardiologist
Gallstones,low-fat diet,consult gastroenterologist,surgery if needed,manage weight
Diverticulitis,clear liquid diet,antibiotics,consult gastroenterologist,rest
Huntington's disease,medication,physical therapy,consult neurologist,support groups
Obsessive-compulsive disorder (OCD),cognitive-behavioral therapy,medication,consult psychiatrist
Chlamydia,antibiotics,abstain from sex,consult healthcare provider,notify sexual partners
Hepatitis G,consult doctor,medication,rest,avoid alcohol
Cushing's syndrome,reduce corticosteroid use,consult endocrinologist,manage symptoms
Sickle cell disease,manage pain,hydration,consult hematologist,prevent infections
Pancreatitis,fasting,medication,consult gastroenterologist,manage underlying cause
Gastroparesis,small meals,low-fiber diet,medication,consult gastroenterologist
Social anxiety disorder,exposure therapy,medication,consult psychiatrist,support groups
Binge eating disorder,psychotherapy,medication,establish routine,consult psychiatrist
Ehlers-Danlos syndrome,physical therapy,pain management,consult geneticist,surgery if needed
Pulmonary embolism,anticoagulants,manage underlying cause,consult pulmonologist,prevent recurrence
Obsessive-compulsive personality disorder (OCPD),psychotherapy,medication,consult psychiatrist,support groups
Interstitial cystitis,bladder training,medication,consult urologist,dietary changes
Polycystic ovary syndrome (PCOS),hormonal birth control,manage insulin levels,consult gynecologist,weight management
Multiple sclerosis,medication,physical therapy,consult neurologist,support groups
Inflammatory bowel disease (IBD),anti-inflammatory medications,immunosuppressive drugs,consult gastroenterologist,healthy diet
Restless legs syndrome (RLS),regular exercise,avoid caffeine,medication,consult neurologist
Atrial fibrillation,anticoagulants,rate control medications,consult cardiologist,cardioversion if needed
Chronic kidney disease (CKD),manage underlying cause,medication,consult nephrologist,healthy lifestyle
Ovarian cysts,monitoring,medication,consult gynecologist,surgery if needed
Fatty liver disease,weight loss,healthy diet,exercise,consult hepatologist
Amyotrophic lateral sclerosis (ALS),medication,physical therapy,consult neurologist,support groups
Erectile dysfunction,medication,psychotherapy,lifestyle changes,consult urologist
Gonorrhea,antibiotics,abstain from sex,consult healthcare provider,notify sexual partners
Sleep apnea,CPAP therapy,weight loss,consult pulmonologist,sleep position adjustments
Rheumatic fever,antibiotics,anti-inflammatory medications,consult cardiologist,prevent strep infections
Toxic shock syndrome,seek medical attention,antibiotics,manage symptoms,avoid tampon use
Ovarian cancer,surgery,chemotherapy,consult oncologist,radiation therapy if needed
Lactose intolerance,avoiding dairy products,use lactase supplements,consult gastroenterologist,manage symptoms
Hypochondria,psychotherapy,medication,consult psychiatrist,support groups
Tennis elbow,rest,ice application,brace,physical therapy
Shin splints,rest,ice application,stretching exercises,proper footwear
Bursitis,rest,ice application,anti-inflammatory medications,physical therapy
Tendinitis,rest,ice application,compression,physical therapy
Rotator cuff injury,rest,ice application,anti-inflammatory medications,physical therapy
Frozen shoulder,stretching exercises,heat application,physical therapy,anti-inflammatory medications
Plantar fasciitis,stretching exercises,footwear modification,ice application,physical therapy
Hip bursitis,rest,ice application,anti-inflammatory medications,physical therapy
Groin pull,rest,ice application,compression,stretching exercises
Achilles tendinitis,rest,ice application,compression,stretching exercises
Carpal tunnel syndrome,rest,brace,anti-inflammatory medications,physical therapy
Hamstring strain,rest,ice application,compression,stretching exercises
Meniscus tear,rest,ice application,compression,physical therapy
Concussion,rest,avoiding screens,monitoring symptoms,consult neurologist
Patellofemoral pain syndrome,rest,ice application,compression,stretching exercises
Stress fractures,rest,avoiding impact activities,brace,physical therapy
Swimmer's shoulder,rest,ice application,anti-inflammatory medications,physical therapy
Jumper's knee,rest,ice application,compression,stretching exercises
IT band syndrome,rest,ice application,compression,stretching exercises
Runner's knee,rest,ice application,compression,stretching exercises
Bunions,proper footwear,orthotic inserts,stretching exercises,anti-inflammatory medications
Tennis leg,rest,ice application,compression,physical therapy
Morton's neuroma,proper footwear,orthotic inserts,rest,ice application
Whiplash,rest,neck brace,physical therapy,anti-inflammatory medications
Chronic fatigue syndrome,rest,establishing routine,consulting healthcare provider,exercise planning
Fibrous dysplasia,monitoring symptoms,medication,physical therapy,consulting specialist
Hypoparathyroidism,calcium supplements,monitoring symptoms,consult endocrinologist,healthy diet
Acromegaly,medication,surgery,monitoring symptoms,consult endocrinologist
Diabetic neuropathy,control blood sugar levels,medication,consult endocrinologist,physical therapy
Cluster headaches,medication,avoiding triggers,consult neurologist,establishing routine
Hidradenitis suppurativa,antibiotics,steroid injections,consult dermatologist,managing weight
Lichen planus,steroid creams,antihistamines,light therapy,consult dermatologist
Dupuytren's contracture,hand exercises,surgery,physical therapy,consult orthopedist
Hemochromatosis,blood removal (phlebotomy),dietary changes,monitoring symptoms,consult hematologist
Osler-Weber-Rendu syndrome,medication,surgery,monitoring symptoms,consult specialist
Peripheral artery disease (PAD),medication,exercise,healthy diet,consult cardiologist
Sarcoidosis,anti-inflammatory medications,steroids,monitoring symptoms,consult pulmonologist
Tourette syndrome,behavioral therapy,medication,consult neurologist,support groups
Interstitial lung disease,medication,oxygen therapy,consult pulmonologist,physical therapy
Vocal cord dysfunction,behavioral therapy,medication,consult pulmonologist,speech therapy
Uterine fibroids,medication,surgery,monitoring symptoms,consult gynecologist
Achalasia,medication,dilation,consult gastroenterologist,healthy eating habits
Neurofibromatosis,monitoring symptoms,surgery,consult specialist,support groups
Cushing's syndrome,reduce corticosteroid use,consult endocrinologist,manage symptoms
Moyamoya disease,medication,surgery,monitoring symptoms,consult neurologist
Charcot-Marie-Tooth disease,physical therapy,assistive devices,surgery,consult neurologist
Vasculitis,medication,immunosuppressive drugs,monitoring symptoms,consult rheumatologist
Polymyalgia rheumatica,anti-inflammatory medications,steroids,physical therapy,consult rheumatologist
Essential tremor,medication,deep brain stimulation,consult neurologist,support groups
Whipple's disease,antibiotics,surgery,monitoring symptoms,consult gastroenterologist
Bacterial vaginosis,antibiotics,avoiding douching,consult gynecologist,healthy hygiene habits
Eczema herpeticum,antiviral medications,consult dermatologist,avoiding triggers,moisturizing
Hashimoto's encephalopathy,steroids,immunoglobulins,monitoring symptoms,consult neurologist
Meniere's disease,diuretics,low-sodium diet,physical therapy,consult ENT specialist
Neuroendocrine tumors,medication,surgery,monitoring symptoms,consult oncologist
Peyronie's disease,medication,penile traction devices,surgery,consult urologist
Prader-Willi syndrome,behavioral therapy,medication,support groups,consult endocrinologist
Scabies,scabicide creams,avoiding close contact,laundry hygiene,consult dermatologist
Tetanus,immunization,antitoxin,medication,consult healthcare provider
Vulvodynia,medication,physical therapy,consult gynecologist,support groups
Williams syndrome,early intervention programs,medication,consult specialist,support groups
Hereditary hemorrhagic telangiectasia,medication,surgery,monitoring symptoms,consult specialist
Pantothenate kinase-associated neurodegeneration (PKAN),medication,physical therapy,consult neurologist,support groups
Pernicious anemia,vitamin B12 injections,monitoring symptoms,consult hematologist,healthy diet
Porphyria,avoiding triggers,medication,monitoring symptoms,consult specialist
Thoracic outlet syndrome,physical therapy,medication,consult orthopedist,healthy lifestyle
Chiari malformation,monitoring symptoms,medication,surgery,consult neurosurgeon
Scleroderma,immunosuppressive drugs,physical therapy,monitoring symptoms,consult rheumatologist
Hemophilia,clotting factor replacement,medication,monitoring symptoms,consult hematologist
Autism spectrum disorder,behavioral therapy,occupational therapy,medication,consult psychiatrist
Restless genital syndrome,medication,psychotherapy,consult specialist,support groups
Polyarteritis nodosa,immunosuppressive drugs,medication,monitoring symptoms,consult rheumatologist
Lymphedema,compression therapy,physical therapy,monitoring symptoms,consult specialist
Hypoplastic left heart syndrome,medication,surgery,monitoring symptoms,consult cardiologist
Granulomatosis with polyangiitis,immunosuppressive drugs,medication,monitoring symptoms,consult rheumatologist
Hallervorden-Spatz syndrome,medication,physical therapy,consult neurologist,support groups
Narcolepsy,stimulants,medication,establishing sleep routine,consult sleep specialist
Stiff person syndrome,medication,physical therapy,consult neurologist,support groups
Gastroparesis,medication,dietary changes,monitoring symptoms,consult gastroenterologist
Wernicke-Korsakoff syndrome,thiamine supplements,monitoring symptoms,consult neurologist,healthy diet